Категория куда сливаем;Категория откуда сливаем
Уличные светильники/Ландшафтные столбы;Уличные светильники/Подсветка деревьев
Уличные светильники/Прожекторы;Уличные светильники/Прожекторы
Уличные светильники/Розетки садовые;Уличные светильники/Розетка содовая
Уличные светильники/Розетки садовые;Уличные светильники/Розетка садовая
Уличные светильники/Светильники на солнечных батареях;Уличные светильники/На солнечных батареях
Уличные светильники/Светильники настольные или напольные;Уличные светильники/Светильник настольный или напольный
Уличные светильники/Архитектурная подсветка;Уличные светильники/Архитектурная подсветка
Аксессуары; Аксессуары/Экран каминный
Аксессуары/Декор; Аксессуары/Элемент декоративный
Аксессуары/Декор; Аксессуары/Зеркало
Аксессуары/Декор; Аксессуары/Шкатулка
Аксессуары/Декор; Аксессуары/ Ваза
Аксессуары/Декор; Аксессуары/Шар декоративный
Аксессуары/Декор; Аксессуары/Тарелка декоративная
Аксессуары/Светодтодные ленты; Аксессуары/Светодиодная лента
Комплектующие/Крепления;Комплектующие/Крепление/Потолочное крепление на одну лампу
Комплектующие/Крепления;Комплектующие/Крепление/Потолочное крепление на 3 лампы (прямоугольное)
Комплектующие/Крепления;Комплектующие/Крепление/Потолочное крепление на 5 ламп (прямоугольное)
